Title,Summary,EventDate,DatePrecision,Category,Importance,SourceType,SourceKey,SourceUrl
"Queen at Orpheum Theatre, Boston, USA","Queen performed at Orpheum Theatre in Boston, USA.",1974-04-26,ExactDate,Concert,30,Curated,queenconcerts-102,https://www.queenconcerts.com/detail/live/102/queen-live-26-04-1974-orpheum-theatre-boston-ma-usa.html
"Queen at Palace Theatre, Providence, USA","Queen performed at Palace Theatre in Providence, USA.",1974-04-27,ExactDate,Concert,30,Curated,queenconcerts-103,https://www.queenconcerts.com/detail/live/103/queen-live-27-04-1974-palace-theatre-providence-ri-usa.html
"Queen at Exposition Hall, Portland, USA","Queen performed at Exposition Hall in Portland, USA.",1974-04-28,ExactDate,Concert,30,Curated,queenconcerts-104,https://www.queenconcerts.com/detail/live/104/queen-live-28-04-1974-exposition-hall-portland-me-usa.html
"Queen at Agricultural Hall, Allentown, USA","Queen performed at Agricultural Hall in Allentown, USA.",1974-05-02,ExactDate,Concert,30,Curated,queenconcerts-106,https://www.queenconcerts.com/detail/live/106/queen-live-02-05-1974-agricultural-hall-allentown-pa-usa.html
"Queen at Kings College, Wilkes-Barre, USA","Queen performed at Kings College in Wilkes-Barre, USA.",1974-05-03,ExactDate,Concert,30,Curated,queenconcerts-107,https://www.queenconcerts.com/detail/live/107/queen-live-03-05-1974-kings-college-wilkes-barre-pa-usa.html
"Queen at Palace Theatre, Waterbury, USA","Queen performed at Palace Theatre in Waterbury, USA.",1974-05-04,ExactDate,Concert,30,Curated,queenconcerts-108,https://www.queenconcerts.com/detail/live/108/queen-live-04-05-1974-palace-theatre-waterbury-ct-usa.html
"Queen at Uris Theatre, New York, USA","Queen performed at Uris Theatre in New York, USA.",1974-05-08,ExactDate,Concert,30,Curated,queenconcerts-110,https://www.queenconcerts.com/detail/live/110/queen-live-08-05-1974-uris-theatre-new-york-ny-usa.html
"Queen at Uris Theatre, New York, USA","Queen performed at Uris Theatre in New York, USA.",1974-05-09,ExactDate,Concert,30,Curated,queenconcerts-111,https://www.queenconcerts.com/detail/live/111/queen-live-09-05-1974-uris-theatre-new-york-ny-usa.html
"Queen at Uris Theatre, New York, USA (first show)","Queen performed at Uris Theatre in New York, USA, the first show there that day.",1974-05-10,ExactDate,Concert,30,Curated,queenconcerts-112,https://www.queenconcerts.com/detail/live/112/queen-live-10-05-1974-uris-theatre-new-york-ny-usa-1st-gig.html
"Queen at Uris Theatre, New York, USA (second show)","Queen performed at Uris Theatre in New York, USA, the second show there that day.",1974-05-10,ExactDate,Concert,30,Curated,queenconcerts-114,https://www.queenconcerts.com/detail/live/114/queen-live-10-05-1974-uris-theatre-new-york-ny-usa-2nd-gig.html
"Queen at Uris Theatre, New York, USA","Queen performed at Uris Theatre in New York, USA.",1974-05-11,ExactDate,Concert,30,Curated,queenconcerts-113,https://www.queenconcerts.com/detail/live/113/queen-live-11-05-1974-uris-theatre-new-york-ny-usa.html
"Queen at Empire Theatre, Liverpool, UK","Queen performed at Empire Theatre in Liverpool, UK.",1974-11-01,ExactDate,Concert,30,Curated,queenconcerts-117,https://www.queenconcerts.com/detail/live/117/queen-live-01-11-1974-empire-theatre-liverpool-uk.html
"Queen at University, Leeds, UK","Queen performed at University in Leeds, UK.",1974-11-02,ExactDate,Concert,30,Curated,queenconcerts-118,https://www.queenconcerts.com/detail/live/118/queen-live-02-11-1974-university-leeds-uk.html
"Queen at Theatre, Coventry, UK","Queen performed at Theatre in Coventry, UK.",1974-11-03,ExactDate,Concert,30,Curated,queenconcerts-119,https://www.queenconcerts.com/detail/live/119/queen-live-03-11-1974-theatre-coventry-uk.html
"Queen at City Hall, Sheffield, UK","Queen performed at City Hall in Sheffield, UK.",1974-11-05,ExactDate,Concert,30,Curated,queenconcerts-120,https://www.queenconcerts.com/detail/live/120/queen-live-05-11-1974-city-hall-sheffield-uk.html
"Queen at St George's Hall, Bradford, UK","Queen performed at St George's Hall in Bradford, UK.",1974-11-06,ExactDate,Concert,30,Curated,queenconcerts-121,https://www.queenconcerts.com/detail/live/121/queen-live-06-11-1974-st-georges-hall-bradford-uk.html
"Queen at City Hall, Newcastle, UK","Queen performed at City Hall in Newcastle, UK.",1974-11-07,ExactDate,Concert,30,Curated,queenconcerts-122,https://www.queenconcerts.com/detail/live/122/queen-live-07-11-1974-city-hall-newcastle-uk.html
"Queen at University, Lancaster, UK","Queen performed at University in Lancaster, UK.",1974-11-09,ExactDate,Concert,30,Curated,queenconcerts-124,https://www.queenconcerts.com/detail/live/124/queen-live-09-11-1974-university-lancaster-uk.html
